rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,phone_number,soc_sec_id,day,month,year,match_id
53,adam,barry,252,fidler court,myla-myru,runaway bay,2290,act,03 87605854,7178614,15,10,1928,53
54,alana,papapavlou,3,leahy close,,balaklava,4014,vic,02 44871337,9188922,10,08,1934,54
55,benjamin,morgan,143,william hudson crescent,billabong,narraweena,5091,nsw,02 21109349,1322286,08,06,1998,55
56,layla,hart,50,hepburn place,,bunbury,3500,vic,,3782419,07,04,1988,56
57,arabella,collingwood,10,kelleway avenue,,huonville,2607,vic,03 16646827,1844145,23,11,1941,57
58,riley,leonard,207,freda bennett circuit,villa 42,matraville,2570,vic,07 59464693,8036327,29,03,1966,58
59,sophie,cox,55,snowy place,glenelg,edmonton,3136,,04 78181576,4921589,06,12,1930,59
60,bodhi,mundy,3,appel crescent,,bull creek,4500,vic,07 66233918,8003889,02,06,1919,60
61,chloe,hodge,31,atherton street,,chermside,2320,nsw,03 06593132,1267778,27,02,1902,61
62,sonja,leicester,8,rich street,arlaroo,coonabarabran,5081,nsw,07 26890735,9579041,,,,62
63,joel,thurmer,39,glenelg street,,surry hills,2340,qld,03 35998086,7258994,16,09,1903,63
64,shantal,smith,7,bradfield street,collingwood,atwell,3803,qld,08 82134854,1841801,14,12,1964,64
65,zachary,hardwicke,2,a'beckett street,rosevale,hawthorn,5064,qld,02 25285193,5570226,,,,65
66,caitlin,ward,21,pullen street,woodrose,dover gardens,2064,sa,02 95085681,5856658,03,04,1998,66
67,erin,nichols,38,,,strathalbyn,4116,vic,07 71707790,3675537,14,04,1909,67
68,jayden,joseph,11,la perouse street,raafa estate,sunshine,5069,qld,03 03458059,2416424,,,,68
69,jordan,banks,26,o'sullivan street,mealiffee park,st marys,2104,,08 21556264,1230555,29,03,1910,69
70,william,aikman,12,fincham crescent,,portland,2800,nsw,02 81621499,1455907,18,07,1932,70
71,teneille,meade,76,mollison street,springdale 403r,thurgoona,2289,vic,02 68060015,7689900,21,08,1927,71
72,blake,ryan,61,lovelock court,angulong apartments,bathurst,3196,tas,,9849997,06,01,1965,72
73,lachlan,mills,7,musgrave street,kingsley retirement village,monash,7050,wa,03 41230474,4372046,18,02,1908,73
74,annabel,eatts,19,mceachern crescent,,hastings,2774,wa,08 48024890,4110327,15,02,1983,74
75,noah,stephens,20,light street,,melba,2315,vic,03 01378253,6082723,14,03,1957,75
76,brianna,clarke,39,vogelsang place,byron bay specialist c centre,newtown,4171,nsw,03 65490258,4663461,14,11,1914,76
77,,peck,4,condamine street,,mornington,2261,vic,07 94159663,6833466,14,02,1983,77
78,joel,calvo,12,leakey place,,salisbury,4221,,03 00877713,3260484,20,08,1959,78
79,daniel,lewis,52,terry close,residential vllge,willetton,3130,nsw,04 43999992,1800873,08,01,1950,79
80,riley,riley,5,aspinall street,,glenunga,2745,qld,08 33914843,5068539,29,05,1954,80
81,zebediah,edwards,44,weathers street,,toowoomba,6157,vic,04 76227992,9450425,23,09,1957,81
82,samuel,jacometti,3,rowntree crescent,willow lodge,esperance,3280,qld,07 24085310,2077523,09,12,1964,82
83,holly,laws,5,blamey crescent,showcase on the beach,bribie island,5575,qld,08 24842379,1173516,08,04,1911,83
84,krystin,walnsley,86,croton street,killarloo,pascoe vale,2536,nsw,04 11562088,4484349,25,05,1917,84
85,katelyn,coulthard,88,kinleyside crescent,sit 9,werribee,5345,nsw,02 94911416,1432680,20,06,1981,85
86,adela,tieck,19,banambila street,the village,caboolture,3189,qld,08 16887018,4692753,14,07,1983,86
87,jaslyn,maitland,181,mcmillan crescent,phillip lodge,tewantin,4508,vic,,5454511,,,,87
88,robert,sudsongsan,42,frankland street,bara park,rochester,4570,nsw,08 88376235,3422662,21,11,1945,88
89,sarah,davies,11,meyrick place,amber,wentworth falls,3355,vic,02 24040250,9451583,14,05,1912,89
90,phoebe,hughes,21,badimara street,depot office,bass hill,5088,vic,07 30914909,3914759,06,06,1977,90
91,lucas,cornelius,22,jemalong street,hillside,jerrabomberra,2230,sa,07 10429700,6927813,,,,91
92,,evans,965,pennefather street,hse 558,doonside,2604,,04 38237655,5463637,24,02,1978,92
93,jacqueline,heydarian,223,,,ingle farm,2759,nsw,02 43048189,4902948,19,08,1998,93
94,andrew,allen,81,pandanus street,,uralla,2062,vic,03 67841373,5644063,16,11,1957,94
95,adam,webb,48,cassinia street,warrie,oak flats,5048,qld,03 81936702,7565525,11,12,1915,95
96,christopher,east,2,angophora street,,belgrave,4570,nsw,08 43827957,2908539,02,10,1963,96
97,alicia,booker,80,bussell crescent,north jack,,2460,nsw,07 68889910,6506052,13,03,1963,97
98,adam,hofhuis,9,handasyde street,midway cottage,boat harbour,2341,nsw,02 51707575,3785304,28,07,1932,98
99,asha,turner,97,cunningham street,,springsure,2760,,02 33788385,2572593,10,08,1979,99
100,jade,blizzard,8,chirnside circuit,,payneham,4151,sa,03 82447095,6968812,07,01,1908,100
101,dylan,rodda,273,dobinson place,,toukley,6157,nsw,04 16368772,6893586,23,08,1945,101
102,daniel,seroka,108,lewin street,,,2747,nsw,07 71451993,6611503,17,07,1960,102
103,isaac,scavarelli,40,corinna street,murrayfield,wauchope,4129,qld,04 41446417,2351787,25,08,1991,103
104,kimberly,foster,23,hartley street,,wetherill park,5097,,04 87524617,7724171,,,,104
105,aleesha,loechel,811,somerset street,yukana retirement village,wahroonga,3796,nsw,03 98754740,5250721,16,07,1951,105
106,georgia,diep,15,chipperfield circuit,,nilma,4350,sa,,3729179,28,10,1921,106
107,james,fisher,8,,,parattah,3078,nsw,02 16584632,5635267,,,,107
108,alexandra,baker,32,barrington crescent,,wollongong,2464,nsw,,2740374,13,02,1914,108
109,tyler,brown,88,spowers circuit,raymond is,rowville,4207,qld,,5079728,02,04,1938,109
110,sarah,spikin,245,,,fitzroy north,2121,qld,04 51087477,5115141,14,11,1941,110
111,ethan,lestar,6,grylls crescent,the grand,hornsby,2223,nsw,04 98134103,2095391,17,05,1948,111
112,brandon,pinkerton,2,wiburd street,,fairfield,3350,vic,08 78823023,1616338,09,04,1962,112
113,henry,wells,24,wattle street,avondale,narraweena,4551,vic,08 10030920,2187497,07,03,1917,113
114,joshua,mcduff,72,giles street,,ceduna,3752,nsw,07 12713532,8787927,11,09,1939,114
115,amber,basstian,0,,,duncraig,2580,vic,04 72313627,5786644,07,08,1983,115
116,mitchell,clancy,19,batchelor street,,north haven,2448,nsw,03 92635409,2998333,26,12,1957,116
117,jaime,burge,433,darmody street,,moruya,2335,qld,07 48805386,7044121,20,07,1941,117
118,indyana,elliott,14,tallara parkway,,heidelberg heights,7007,,03 73187108,4737502,10,06,1965,118
119,riley,carne,11,chillagoe street,,oyster cove,2760,nsw,03 12724894,8787629,06,05,1971,119
120,shaun,dayan,17,enderby street,old leake homestead,port augusta,3400,qld,02 64695651,4430508,04,09,1943,120
121,tayla,choat,6,carter crescent,,greenacre,2761,,03 71830087,6219958,11,03,1957,121
122,harrison,holeyman,22,darwinia terrace,,applecross,4211,nsw,02 18824196,7160228,17,09,1936,122
123,jessica,kawalec,2,hedley street,barnsbury farm,flagstaff hill,5333,qld,07 00158958,8887418,31,01,1924,123
124,daniel,fallon,1,banambila street,,dromana,3150,nsw,,4999284,28,05,1965,124
125,hayden,goodman,276,ellerston avenue,mildoon,kiama,2777,qld,03 12291832,6385291,02,10,1935,125
126,nicholas,rosenzweig,20,john cleland crescent,,aspendale gardens,3205,vic,03 94552816,9199345,,,,126
127,wilson,martin,7,simpson street,seaton,merredin,2291,nsw,02 58449198,4322028,23,02,1972,127
128,rachel,perham,51,la perouse street,,eastwood,4371,vic,04 05539379,7965479,19,10,1963,128
129,charlie,kelsall,15,venables place,tuloona,narooma,6102,nsw,08 64359797,9597666,23,01,1963,129
130,joel,tangey,8,newman morris circuit,,campsie,2444,qld,03 60681782,5221343,,,,130
131,joshua,barra,8,sherbrooke street,,padbury,5126,,04 44683925,1006276,25,11,1908,131
132,bailey,reid,31,gilmore crescent,wyoming,cronulla,7249,nsw,,6965199,13,06,1973,132
133,zakariah,fiege,16,burkitt street,,manly,4502,vic,03 00633306,5524960,21,11,1955,133
134,angelina,ashmore,25,marrakai street,the ranch,medowie,2486,vic,07 39420258,9146310,17,01,1966,134
135,renee,hamilton,28,beasley street,,redbank plains,4655,vic,07 42947929,5208315,29,11,1933,135
136,shana,gates,335,youl court,kookana,brighton,2360,vic,,8284952,21,01,1947,136
137,caitlin,castle,6,mccawley street,,west ryde,3939,vic,07 23813371,7159586,24,09,1906,137
138,danielle,nesci,42,wheeler crescent,keilor retirement village,port lincoln,5017,sa,04 94943656,6331400,16,11,1993,138
139,aidan,phillips,13,cumpston place,,port broughton,3186,vic,07 64337393,8798673,14,10,1991,139
140,benjamin,baumber,123,findlay street,,wembley,4580,qld,07 93266580,2082355,17,04,1992,140
141,ryan,johnson,27,burrinjuck crescent,ombredouce,wodonga,3154,,07 10378290,8337773,,,,141
142,samuel,footer,23,grey street,villa 90 alloura waters village,greenwood,3162,nsw,07 31112892,8966567,05,01,1938,142
143,nicholas,,25,clancy street,,cohuna,5039,nsw,03 32525287,8000284,26,07,1967,143
144,flynn,cracknell,4,,,maryborough,5000,nsw,03 82891268,3964463,12,06,1914,144
145,jackson,black,9,,,valla,2230,qld,03 12814500,8356141,06,07,1964,145
146,sienna,astill,47,taylor street,,reynella,5473,nsw,02 93500351,3121260,19,08,1962,146
147,alison,crees,5,walker crescent,,black stump,3910,qld,08 30381871,1249646,04,03,1986,147
148,ella,taylor,6,forwood street,edelweiss,kirrawee,6064,vic,04 93953493,8623947,20,05,1969,148
149,kyle,franklin,41,moyes crescent,bay village,bargo,4521,vic,04 73216574,6656877,,,,149
150,fraser,cross,152,maurice place,,lawnton,4700,sa,,6954216,28,11,1948,150
151,alexander,child,1,hartigan street,,griffith,5127,nsw,08 60805313,4158467,15,07,1963,151
152,matthew,pettrey,8,gouger street,,berala,2620,vic,04 37989212,8199929,23,03,1943,152
153,benjamin,khousakool,25,herington street,rosalie farm,lavington,2850,qld,,3073336,17,03,1960,153
154,benjamin,hitchcock,26,corrigan place,,darlinghurst,2035,nsw,08 28126961,6085185,,,,154
155,,trebilcock,6,cowan street,,robina,3095,vic,03 91986577,4634945,02,11,1933,155
156,joselyn,duckworth,27,crisp circuit,kollingwood,engadine,3071,sa,07 73365858,7540726,25,04,1956,156
157,ashton,perkins,56,copland drive,,clifton hill,2041,sa,04 76666587,9135574,25,11,1916,157
158,thomas,o'sullivan,11,,,ascot vale,3162,vic,08 14908628,1888054,,,,158
159,alex,brooks,18,o'connor circuit,cedar lodge,burnie,2156,vic,02 70446039,8515855,29,10,1996,159
160,liam,kent,41,dethridge street,hse 1,paddington,5031,nsw,07 80971507,1283370,08,01,1968,160
161,chloe,walkem,34,greeves street,,briagolong,3585,nt,03 37073642,5684528,11,05,1969,161
162,annabel,shammall,3,trenwith close,sandarrah,horsham,2335,nsw,03 63908001,6222187,18,09,1957,162
163,sara,wicks,26,crozier circuit,tuckworth est,strathfield,6155,,04 07981157,2016956,27,11,1988,163
164,brooke,o'donnell,32,lewin street,serendib estate,southport,2073,nsw,02 47665788,8180884,,,,164
165,zali,cleary,14,nassau place,,lara,3029,qld,02 78872201,5280399,08,02,1939,165
166,ajay,jacobs,23,jerrabomberra avenue,anzcor office,mcgraths hill,2000,wa,08 53065543,1234486,,,,166
167,macy,boril,33,bardolph street,,north beach,3174,sa,04 64822684,2997660,20,02,1911,167
168,ned,byrne,100,meehan garden,frascati,thornlands,2114,nsw,03 07255784,7898368,21,07,1983,168
169,amber,howroyd,17,wanganeen avenue,the old school,southport,2040,vic,08 20544874,9101576,,,,169
170,sam,bates,65,marsden street,glenavon,lorn,2710,nsw,04 08855267,3453202,21,12,1925,170
171,max,simmons,6,currie crescent,,liverpool,3825,qld,08 49130424,2160569,27,11,1932,171
172,jack,grainger,618,hyndes crescent,,concord,3850,nsw,02 37025438,8062101,15,08,1901,172
173,matthew,walsh,23,foxall street,tobruk hse,murray bridge,4159,qld,02 47000603,4101804,31,10,1917,173
174,liam,boyd,201,dominion circuit,,meningie,3025,vic,07 42836591,3917081,12,11,1916,174
175,,ziegeler,70,spalding street,barrington,ashgrove,3216,vic,08 11772053,3940158,12,01,1922,175
176,alana,andrews,266,spafford crescent,,deception bay,4655,sa,07 30313876,5737832,12,10,1962,176
177,joshua,gothe,79,streeton drive,bowes,wilson,3228,nsw,02 43721390,9431252,29,03,1943,177
178,thomas,ferry,90,dore court,,newell,5162,,07 32741749,1881034,16,10,1937,178
179,tahnee,wright,58,corlette crescent,kentel,ringwood east,2304,nsw,02 64749864,7756496,03,03,1992,179
180,jasmine,carbone,12,boddington crescent,,oyster bay,4216,qld,07 99432657,3590303,25,07,1997,180
181,caitlin,blackberry,275,hayley street,red gate,armidale,3636,wa,07 37632403,8311367,01,03,1957,181
182,tiana,goss,18,,,yeppoon,5502,nsw,02 78754052,6482238,29,04,1956,182
183,,palasis,0,wattle street,,meadow heights,6154,qld,03 67345403,7531945,01,05,1902,183
184,neneh,sztekel,8,crisp circuit,,wulagi,2320,qld,03 87776050,9264495,,,,184
185,mitchell,anderson,7,white crescent,,helena valley,2223,qld,02 63638688,5457989,08,04,1962,185
186,chantelle,,130,hensman street,bonnie-doon,carina,2566,nsw,07 30078922,1211186,19,06,1911,186
187,katelyn,thomson,8,jondol place,langleigh,leda,3175,nsw,08 77900143,8786811,14,09,1929,187
188,tarshya,barker,871,ironside street,,cardiff,7008,nsw,07 38774591,3333961,26,07,1948,188
189,jaxson,brown,72,williams street,tulara,fremantle,4151,nsw,03 53491912,8855411,21,02,1912,189
190,jordan,marks,6,,,coolgardie,5065,sa,02 16238218,4364860,21,06,1908,190
191,harry,vidovich,234,banfield street,bonadah,st kilda east,0,nsw,08 06122875,2410908,13,10,1984,191
192,angus,walker,163,parsons street,,emerald,2577,,07 78719505,6377414,20,08,1979,192
193,larissa,ngo,24,paul coe crescent,,cranbourne,4103,qld,08 94303058,6158972,16,08,1996,193
194,kyle,ding,4,o'connor circuit,water garden,athelstone,4869,vic,08 57074154,5678023,21,08,1990,194
195,madison,mead,36,crowder circuit,,seaford,4567,,04 46334539,5773098,21,04,1961,195
196,william,goold,23,,the palms,kings cross,4223,nsw,04 65074841,7011420,17,07,1920,196
197,pino,brown,281,durack street,cedars caravan park,toongabbie,2580,qld,08 58920046,1183842,09,04,1976,197
198,timothy,redman,98,griver place,,south melbourne,3182,,03 01111641,3582294,,,,198
199,nellie,thompson,17,donnard street,aruma lodge,busselton west,3148,vic,04 84633595,3013297,27,02,1987,199
200,chloe,fyfe,39,lexcen avenue,,rodd point,3396,sa,04 82243608,2497339,05,09,1986,200
201,zachary,ho,22,blackman crescent,cumberland view,lalbert,4000,wa,02 61329006,9828916,,,,201
202,olivia,,2,arthur circle,raku,kiama,2045,tas,04 57594901,9079154,,,,202
203,daniella,wundersitz,21,buckmaster crescent,,naracoorte,2795,vic,04 20317711,6957685,23,05,1919,203
204,jason,white,30,,highcroft,milperra,3111,nsw,,1304950,29,07,1934,204
205,alissa,gehlken,31,bagot street,,mornington,2430,nsw,07 64421094,7094180,07,06,1925,205
206,sarah,uzzell,1,wettenhall circuit,,st clair,4870,sa,03 77616840,7964100,,,,206
207,james,edwards,161,braine street,,hampton,2602,qld,03 89304494,8126238,27,06,1998,207
208,joshua,wilton,3,cromwell circuit,,mount nasura,4670,vic,04 96394057,4462520,08,07,1936,208
209,julia,hayes,15,chappell street,,middle cove,3400,nsw,,8738233,30,11,1939,209
210,jackson,bayliss,1,william wilkins crescent,,north rockhampton,4152,,08 47824389,8198231,12,04,1977,210
211,tiffany,ackerly,14,hurley street,,ballarat,3041,vic,07 35903264,4772229,13,07,1920,211
212,wade,evans,5,clarkson street,,monash,4556,nsw,04 39073157,3675597,09,06,1936,212
213,oliver,smyth,22,macnaughton street,aspen,taralga,6530,nsw,,4397644,18,09,1935,213
214,tarshya,huxley,249,rocklands street,girrawa,sutton forest,2250,,08 86543862,2626222,09,08,1966,214
215,emiily,walsh,24,barr-smith avenue,,townsend,2659,nsw,03 33740825,7862872,03,05,1991,215
216,thomas,hasting,42,waller crescent,,little bay,2089,qld,04 99058554,6781976,01,02,1969,216
217,sebastian,garrett,32,archibald street,,old toongabbie,4120,nsw,07 12921161,5125146,19,05,1906,217
218,emiily,,64,woollum street,nantucket,woodvale,4216,vic,08 60800006,9352067,15,05,1931,218
219,isabella,mignone,74,captain cook crescent,flt 2,yamba,3204,sa,07 48226566,4941831,13,05,1972,219
220,emma,shelton,10,napper place,cornhill,frankston south,4814,nsw,07 49203003,7067207,12,11,1918,220
221,kelsy,cockram,6,hedger street,,geebung,2480,,,2025047,23,09,1903,221
222,erin,mountford,13,bear place,,smithfield,2421,nsw,02 51351008,7333385,03,08,1970,222
223,amber,jervic,12,canberra avenue,taree triplecee,holden hill,4065,sa,08 63386482,7667646,14,09,1979,223
224,max,bondarenko,10,box hill avenue,tobruk,high wycombe,2315,vic,08 46954140,7817493,27,01,1915,224
225,oscar,shillington,6,,,new farm,6076,vic,08 29495936,6892424,18,03,1951,225
226,phoebe,taheny,1,muskett place,spring meadows,junction hill,5093,,08 96143066,4301125,03,10,1918,226
227,laklynn,halling,31,o'connor circuit,,hill top,3013,nsw,04 58850710,3412761,27,10,1997,227
228,pia,britton,38,slessor crescent,,norman park,2118,qld,02 40873644,5931384,15,06,1922,228
229,mitchell,corduff,4,piddington street,kersley mews,templestowe,2194,vic,02 86876634,1296480,06,06,1999,229
230,ellie,purvis,15,templestowe avenue,rocks park,lathlain,2021,sa,02 36108894,9754634,01,02,1919,230
231,casey,demchenko,143,mainwaring rich circuit,sabine,belrose,3585,nsw,02 30697606,6509209,17,03,1921,231
232,sophie,cox,38,eagle circuit,geebung,yarrawonga,3555,nsw,04 81024266,3943391,26,11,1997,232
233,isaac,fisk,112,bambridge street,argyle garden vlge,wurtulla,2615,nsw,03 02415521,8146130,04,02,1941,233
234,tiffany,sutton,20,burtt crescent,,hillbank,3215,nsw,07 29870663,6737206,19,06,1948,234
235,ebony,suckling,3,kellaway street,clear creek cottage,halls creek,7000,vic,04 95317139,3659111,21,02,1904,235
236,joshua,pratt,758,katherine avenue,,kingsford,3039,vic,02 43611950,9015206,10,12,1976,236
237,lauren,mayger,3,university avenue,kurrawang cmmnty,melton,3199,wa,07 46782150,9875762,30,05,1972,237
238,alex,petersen,8,clare dennis avenue,,raymond terrace,2107,vic,03 71327300,9659993,09,04,1963,238
239,cameron,garcia,10,gidabal street,,sunshine north,2047,qld,02 50448419,4053530,10,12,1907,239
240,kaitlin,sattler,1,bandulla street,cambrai vlge,yarra glen,2340,nsw,04 48071695,9042952,25,05,1952,240
241,isabella,lapidge,38,phelan place,,high plains,3977,sa,04 71176257,6798992,21,09,1957,241
242,tara,mylonas,7,meehan garden,ewingsdale,kilsyth,4680,nsw,04 77381118,7410673,04,11,1932,242
243,corie,dimitrov,17,chapman street,,chain valley bay,5024,qld,04 96698064,8811514,10,09,1904,243
244,william,ashford,20,hebblewhite street,,balranald,3796,vic,03 91147656,2582721,17,05,1987,244
245,charlotte,o'donnell,75,olympus way,jagaleer,erina,3072,sa,03 34027292,4550762,04,10,1960,245
246,emma,mullin,3,chevalier street,tarrsa,port macquarie,6210,,08 41087748,8969043,25,09,1917,246
247,chloe,marshall,23,levine street,swan cottage hms,,7256,vic,02 03151480,8693737,24,04,1902,247
248,sarah,smith,6,dolling crescent,,narrabeen,4740,,08 65114496,3355596,01,10,1998,248
249,chase,whiteley,4,bean crescent,,lake barrine,6111,nsw,02 53158286,9556209,02,11,1960,249
250,ashleigh,pecorari,16,learmonth drive,,wagga wagga,6230,qld,07 45090927,5066389,25,12,1995,250
251,bryce,weedon,35,wyola place,,mount berryman,3931,vic,02 30404355,7119798,07,06,1911,251
252,adam,taylor,5,schonell circuit,raafa estate,albany,3150,vic,04 98023783,9155291,13,11,1991,252
253,toby,smith,180,melba street,neverfail van park,coomberdale,4700,qld,08 72078245,2673872,10,11,1971,253
254,joshua,bolton,33,maharatta circuit,,kirwan,4805,vic,02 12774793,8559721,10,10,1966,254
255,benjamin,tritton,81,mackenzie street,,kallangur,4614,wa,07 34479284,9474037,01,12,1940,255
256,robert,morgan,9,roebuck street,,dalby,4101,,07 29964559,8835199,28,11,1956,256
257,clement,kanera,15,shepherdson place,woodcroft caravan park,castletown,2210,nsw,02 35967618,7912393,10,06,1910,257
258,oliver,butler,75,sharwood crescent,,wembley,3793,vic,03 50668852,2297062,04,06,1992,258
259,amber,cummins,176,dominion circuit,highfields,woolgoolga,5211,wa,04 02947781,5253861,29,02,1964,259
260,jessica,griffen,48,anderson street,,old erowal bay,6009,,04 61155536,1194696,20,10,1957,260
261,james,shea,16,gurr street,,brunswick,4207,nsw,02 83890103,7396888,11,01,1996,261
262,karlee,roeger,9,bonython street,wonga house,happy valley,2519,vic,07 52857002,5490283,25,04,1926,262
263,alexandra,hoorweg,3,ashburner street,leam park,caloundra,4562,qld,08 50109492,2986014,06,10,1991,263
264,stephen,lynch,4,snowgum road,,sale,6012,,03 64774740,3036058,09,12,1962,264
265,lauren,pannell,20,limestone avenue,,balranald,3199,vic,08 98146919,1616893,16,05,1927,265
266,laura,milnes,0,hagelthorn street,sandy hill,glen osmond,6103,vic,03 52747678,3925016,17,06,1972,266
267,miller,sortini,6,broome crescent,,bundaberg,3337,nsw,03 65070219,7822536,03,12,1959,267
268,kayla,hancock,3,dunstan street,,pittsworth,2290,qld,08 89418888,5252538,11,10,1956,268
269,jessica,cooke,111,cabena court,gunyah,tabulam south,2141,tas,07 65582592,7851116,25,06,1954,269
270,isabella,wignall,36,,,frankston,2580,sa,02 54248573,7185049,,,,270
271,carla,bouwmeester,13,,,high wycombe,2770,,08 37969666,8943101,11,08,1975,271
272,mikayla,batt,37,powlett street,,flemington,4101,vic,02 05549730,6873017,28,09,1994,272
273,thomas,evers,35,spowers circuit,,port macquarie,4030,act,07 65793233,5324644,01,10,1918,273
274,talia,koum,16,togo place,,rathscar,3178,qld,03 79022608,3670956,25,02,1955,274
275,katelin,castello,88,beazley crescent,,belrose,5162,nsw,02 93181482,5541011,09,08,1985,275
276,joshua,cox,127,scoble place,william court,woodville north,6391,nsw,07 46237245,4003721,06,04,1995,276
277,reeve,clark,5,maclaurin crescent,,birkdale,3842,vic,08 94007047,4899239,06,02,1905,277
