rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,phone_number,soc_sec_id,day,month,year,match_id
34,sachin,kendall,27,sexton street,,singleton,3065,nsw,02 81895321,8614855,19,04,1923,34
35,tarshya,harris,324,julia flynn avenue,,coogee,2340,nsw,08 07056115,4053166,17,12,1933,35
36,courtney,gracey,90,carson street,petworth,broadmeadows,2340,qld,08 09210437,1082046,22,10,1976,36
37,thomas,tierney,75,wanganeen avenue,,hackham west,6015,nsw,08 11854083,6219173,18,01,1959,37
38,hannah,morris,42,howie court,merewether,alexandra,2257,qld,02 98690654,6696787,12,08,1981,38
39,callie,warren,3,sexton street,surfside park,inglewood,2540,nsw,02 08053681,3115297,29,05,1942,39
40,james,cresswell,104,arabana street,tesbury,takura,5355,nsw,08 53453341,1050184,16,05,1937,40
41,josephine,,48,monaro crescent,,broome,5168,nsw,08 12317604,2161136,21,09,1931,41
42,mitchell,clark,137,bonney street,regal lodge stables,safety beach,3222,vic,,9564154,28,08,1992,42
43,daniel,meiklejohn,10,laker crescent,hobb's lane,shelly beach,5092,,04 68932940,9016173,26,11,1908,43
44,jeremiah,siedlaczek,22,leist street,willaroo,chelsea,3131,vic,04 73846641,6105765,16,01,1907,44
45,timothy,beechey,3,wongoola close,,coburg,2821,qld,08 17290725,6100229,06,04,1901,45
46,brooke,dorasamy,117,,sec 151,mildura,6061,wa,,4562365,25,12,1949,46
47,isabelle,murphy,15,litchfield place,,,6056,nsw,07 04921159,9931346,12,03,1950,47
48,emiily,hill,6,mouat street,kariong medical centre (cnr langford d d,murray bridge,4122,,03 94710392,4035399,17,07,1999,48
49,kye,kelchner,48,gellibrand street,figtree grdns caravn park,georgetown,2099,wa,07 10985881,5628315,16,01,1970,49
50,brodie,george,29,gidabal street,,shearwater,2010,nsw,07 47921861,8489409,22,04,1924,50
51,ben,irwin,33,barritt street,,boronia,2117,,08 57645622,8421392,12,07,1912,51
52,joel,thompson,33,goyder street,kooroocheang road,mullumbimby,4341,,04 69718183,4903999,29,04,1911,52
53,alexa-rose,,14,brimage place,,cherrybrook,2340,sa,03 72195525,8893389,08,11,1941,53
54,benjamin,johnson,47,crozier circuit,merridong,castle hill,2720,nsw,04 15892561,5749730,01,11,1930,54
55,jacinta,quinn,21,ern florence crescent,,westleigh,4217,nsw,04 21283779,6505490,02,04,1903,55
56,jack,greatwich,440,o'connell street,,cabramatta west,5320,vic,02 42086052,1064417,07,08,1917,56
57,madeleine,bate,17,akhurst grove,wiltara,carrara,6006,wa,03 44203582,8172048,07,08,1924,57
58,benjamin,johnston,24,fihelly street,springfield,yagoona,4104,,08 15880126,9276835,09,05,1920,58
59,cooper,preston,64,maranboy street,tusca,randwick,2482,qld,04 59711044,8843758,30,03,1956,59
60,jasper,reardon,92,dooring street,,cranbourne,4105,vic,03 30722436,9535791,,,,60
61,stella,cole,50,erskine street,,glen huntly,3064,qld,04 94840457,9327014,14,07,1917,61
62,andrew,stewart,16,antis street,,kerang,3174,nsw,04 70471580,5783251,,,,62
63,ryan,langley,681,van raalte place,tumut river estate,bolwarra,2287,nsw,03 85264494,9023331,20,01,1931,63
64,finn,hagg,19,see place,,marrickville,3065,qld,08 93795994,4572884,29,07,1907,64
65,grace,xian,23,,,kippa-ring,3912,vic,08 32655498,1829950,02,03,1931,65
66,benjamin,lancaster,36,bellingham crescent,,ashgrove,6107,qld,03 13715331,5938546,08,10,1972,66
67,juliana,warner,84,dixon drive,,regents park,3340,,07 39517373,3321208,27,03,1920,67
68,joel,woolley,106,ahmatt street,,asquith,5158,sa,04 56234776,7001448,12,12,1961,68
69,chloe,allen,8,light street,,cadell,2176,nsw,08 29383203,1763331,,,,69
70,joshua,leavey,9,,showcase on the beach,echuca,800,nt,04 18289774,6363702,20,08,1925,70
71,ebony,formato,153,wuronga hill street,,busselton west,2011,nsw,03 82017139,5134316,19,03,1986,71
72,isabelle,sofour,105,tantangara street,,browns plains,3186,sa,,7047343,18,09,1901,72
73,imogen,goninon,19,freda bennett circuit,karingal,hazelbrook,3192,wa,08 62233913,5005872,19,02,1952,73
74,riley,smith,14,forbes street,,mosman,2871,qld,03 78277569,9081019,11,09,1955,74
75,gus,giles,8,mckillop circuit,,kelmscott,2580,vic,08 78567027,7079076,13,09,1960,75
76,james,scholten,115,monaro crescent,,doomben,6432,wa,03 85026279,5614250,27,06,1980,76
77,callum,burke,39,wanliss street,cedarview,dural,2830,,08 56858667,4269555,29,07,1959,77
78,patrick,toll,19,investigator street,,jurien bay,2257,qld,,7380082,25,11,1988,78
79,zachary,hooper,18,pennefather street,,kooyong,3844,nsw,08 80245713,4872569,27,04,1936,79
80,jacob,goldsack,27,miller street,,chipping norton,2539,nsw,03 36564679,5474188,26,01,1973,80
81,anari,quinn,3,manna close,glenesk,coffs harbour,3084,nsw,08 79855773,1263298,15,12,1953,81
82,shai,mcdonald,17,olliff place,,reservoir,3059,wa,04 25531388,1795049,,,,82
83,harrison,woods,131,michael holt crescent,,murray bridge,5086,qld,08 47291925,6657330,21,10,1922,83
84,thomas,haggett,56,yumba avenue,warriewood,lamberts beach,4505,,02 14896924,6297619,03,03,1955,84
85,destynii,slobodjanac,40,hosking place,,currumbin waters,2315,tas,07 64434403,6247866,,,,85
86,kye,vink,28,woolner circuit,,lake illawarra,0,vic,08 49625877,5186705,09,06,1907,86
87,william,anderson,7,ratcliffe crescent,,naracoorte,2064,sa,02 20948068,2471135,10,04,1900,87
88,kyle,boyd,82,atherton street,ironbark,cecil park,4670,wa,03 86043347,6601569,26,07,1974,88
89,liam,hoskins,18,stace place,swan cottage homes,gorokan,5032,vic,02 98821125,5079463,25,05,1943,89
90,louise,marshall,30,ulm street,,wagga wagga,2096,,07 00553146,7771045,16,04,1963,90
91,tabitha,hunter,96,towns crescent,,wantirna south,3167,,04 03236154,3562508,26,05,1911,91
92,alexander,savoy,39,britten-jones drive,eticup,ambarvale,7170,vic,08 04505505,7625443,,,,92
93,daniel,ranson,56,derrington crescent,,forge creek,3152,nsw,07 67154043,6473631,21,01,1974,93
94,danielle,woon,11,shackleton circuit,,orbost,2420,nsw,04 55189700,6663250,30,10,1969,94
95,mitchell,wilsdon,19,matina street,marriott downs,lane cove,4304,vic,03 73340765,8789221,10,11,1990,95
96,andrew,masters,13,crisp circuit,maryantha station,grafton,4305,vic,04 84119928,4340495,16,04,1997,96
97,henry,trotter,7,somers crescent,,turramurra,6024,nsw,03 44769968,1738285,27,03,1957,97
98,ellen,milton,71,florence fuller crescent,trotng stud,peterborough,2152,qld,08 37579378,2100715,20,09,1962,98
99,antonio,hawes,59,sharp place,,werrington,6100,sa,02 17977557,2182757,07,07,1926,99
100,tiahnee,peter,300,weavers crescent,,parndana,4870,nsw,04 10190884,1642749,03,08,1969,100
101,lukas,rogers,109,wanliss street,,gowrie,2164,qld,07 23655040,8511213,24,10,1992,101
102,ronan,mchugh,1090,clemenger street,swanston homestead,mullumbimby,6152,nsw,07 65039724,3918876,26,08,1955,102
103,archer,coulson,147,dobson place,,lauderdale,7010,qld,,2465996,19,09,1963,103
104,adrian,strange,1,burdekin street,port 112,warners bay,2160,sa,04 40141438,7835450,27,06,1919,104
105,jayme,sutcliffe,112,oldfield circuit,gummy gully,hunters hill,3142,vic,03 88771500,2068810,29,09,1902,105
106,jayden,howie,19,tank street,,blakehurst,4300,nsw,04 75528026,2588440,25,05,1971,106
107,imogen,walker,9,matcham place,,uranquinty,6020,vic,,8708744,24,10,1950,107
108,talia,,16,gratwick street,st marks court,shepparton,4114,vic,02 41576942,7626631,21,11,1906,108
109,freya,de sa,1104,fraenkel street,,gulargambone,6056,vic,04 48942226,8453618,06,09,1940,109
110,francesco,collier,5,gleeson place,,oaklands park,2502,nsw,04 09982288,5340203,20,06,1992,110
111,joshua,marcus,16,allambee street,,croydon,2162,vic,08 37642618,1966728,25,01,1946,111
112,lily,dickson,12,leist street,,terrey hills,2021,wa,07 74138966,1759535,28,02,1975,112
113,adam,muir,202,nunki place,the village,happy valley,7321,qld,03 61791027,3184350,04,04,1972,113
114,taliah,kalidonis,65,packer street,,berwick,2065,vic,03 54166141,1812373,25,02,1927,114
115,mya,davidson,8,tallon place,,coburg,3620,nsw,08 69352000,3614368,09,12,1999,115
116,naomi,walker,6,rohan rivett crescent,,bidwill,3189,sa,08 11861184,2457437,22,06,1981,116
117,alysha,pinyon,72,,,baxter,2161,nsw,04 96098063,5235807,02,04,1986,117
118,joshua,pratt,5,,,goulburn,6111,wa,02 37811207,7475457,13,11,1997,118
119,abbey,jauncey,2,,tallowood park,warrawee,2641,,08 67777966,8865206,14,01,1938,119
120,liam,wrobel,19,piper street,ballara,nakara,820,sa,02 23618792,3031008,02,12,1951,120
121,oliver,conidi,46,torrens street,yukana retirement village,cecil hills,6108,nsw,08 82975549,4194050,10,12,1918,121
122,alexander,effenberger,215,sampson close,galleria building,sawtell,6109,nsw,08 52339579,9909424,25,01,1952,122
123,alexandra,corcoran,0,lynch street,posetto,browns plains,2152,,08 80190560,2058176,01,10,1963,123
124,,fischer,43,brown street,,deeragun,2758,nsw,04 34887973,4490942,,,,124
125,tahlia,schultz,17,robertson street,aceland poll hereford stud,gembrook,3564,nsw,,7398815,23,11,1907,125
126,chloe,standen,5,dewar place,corralea oaks,southport,5014,nsw,08 87823149,1399040,25,12,1993,126
127,vanessa,mcknight,740,dexter street,,surrey hills,3691,,07 66488305,6683672,29,11,1946,127
128,alisha,eyre,123,canning street,glenbach,dunlop,3977,qld,08 77881969,2328018,06,08,1919,128
129,courtney,hill,67,duffy street,sun valley,nambour,4680,nsw,07 76834822,5334101,03,07,1937,129
130,charlotte,payne,16,burhop close,,windsor gardens,2602,nsw,03 80438079,7847486,27,10,1915,130
131,isabel,adomeit,12,winstanley street,,paralowie,3175,nsw,08 14368907,9772764,14,10,1966,131
132,leo,altomare,1,enid lorimer circuit,principals residence,doncaster,0,wa,02 02452563,7373679,14,06,1975,132
133,harrison,brown,7,macleay street,,toowoomba,2026,wa,07 82145436,3984416,08,09,1955,133
134,georgia,treleaven,81,lackey place,,bundoora,3109,qld,02 42591054,5600828,02,07,1967,134
135,jack,robinson,1,eldon place,,ungarie,3032,nsw,08 02693896,4152526,18,08,1987,135
136,sascha,wyatt,29,launceston street,,sandgate,4735,,07 43828971,2638959,18,09,1904,136
137,sian,axelsen,39,woolner circuit,seabird caravan park,kings meadows,5072,nsw,03 65682864,8946016,06,07,1917,137
138,jacob,liu,32,sheaffe street,,salisbury east,7006,wa,02 41900851,3464255,19,04,1900,138
139,olivia,watson,7,tangari street,,gymea bay,3380,qld,07 48056792,5742920,01,02,1969,139
140,giuliana,curtis,6,biraban place,glen house,,2261,vic,08 20404054,5049372,02,04,1916,140
141,harry,hurrell,8,george street,narranghi,mount pritchard,4216,vic,02 43806629,6959778,19,10,1939,141
142,will,wilson,86,bernacchi street,yuruga,petersham,2790,qld,03 34959631,1696107,17,12,1980,142
143,keahley,horgan,20,sargood street,,engadine,7320,qld,08 44514154,6044465,09,04,1994,143
144,benjamin,morgan,21,noakes court,,runcorn,2046,vic,03 96199748,1809809,30,10,1975,144
145,jasmine,norman,0,mount vernon drive,,melbourne,3088,nsw,03 32952800,9496359,19,05,1997,145
146,joshua,wilson,14,charvin court,,rozelle,4655,nsw,08 14912780,8527179,20,11,1965,146
147,riley,hower,10,miller street,yoongaloo,mildura,7270,sa,08 71584448,3399895,11,12,1943,147
148,maya,bowen,12,belconnen way,ivanhoe,fernbank,6076,nsw,02 00460404,3988632,,,,148
149,bailey,goodsell,37,parry place,,fairlight,3078,nsw,03 67182256,3011870,30,06,1969,149
150,lily,sturm,320,mermaid street,wandinong,mosman park,2034,nsw,03 64545178,5657600,24,08,1919,150
151,mia,plenty,1,jensen street,,sans souci,2097,nsw,08 17035106,5142243,27,07,1958,151
152,jemma,hubbard,117,carroll street,,heidelberg west,6000,nsw,02 20742214,9884201,19,06,1909,152
153,thomas,dawe,111,alpen street,,albury,3550,nsw,04 06097760,3920235,20,12,1983,153
154,fyynlay,delphin,75,sid barnes crescent,dursley,annandale,7008,tas,03 56217365,3556284,23,04,1985,154
155,emiily,mleczko,38,officer crescent,,merrimac,6062,nsw,03 81956896,3636278,,,,155
156,william,baciarni,8,port jackson circuit,heathglen village,midway point,2583,nsw,07 05062969,1224686,05,09,1929,156
157,cassandra,hoogenhout,29,hunter street,,loxton,2483,wa,08 56858191,3031203,26,09,1970,157
158,timara,thursby,15,jacoby place,,double bay,2224,vic,04 59708458,5251676,30,08,1977,158
159,tiana,minic,20,waterman place,,wilberforce,2032,nsw,03 71000571,9497178,11,10,1945,159
160,anneliese,oneil,20,smyth place,,burwood,2540,nsw,08 11932691,8041841,14,11,1950,160
161,lucas,west,6,darwinia terrace,specialist medcl centre,paddington,6018,vic,,4855551,14,07,1962,161
162,ryan,kotz,15,,tuckworth est,jesmond,5071,nsw,04 35387569,6749038,05,06,1930,162
163,tristan,gibson,379,millen street,rowan park,st lucia,6163,vic,02 11619938,5093671,04,07,1912,163
164,max,howard,24,parker street,buderim garden,goulburn,2570,nsw,04 16344468,2855136,16,01,1927,164
165,alexandra,richards,52,o'reilly street,swan cottage homes,bracken ridge,3913,qld,07 03429345,2897009,31,12,1985,165
166,bradley,fitzgerald,29,eggleston crescent,,magra,6728,nsw,08 88184383,3294858,28,04,1984,166
167,joshua,gibbs,25,thomson street,,mount louisa,2318,nsw,02 10414209,6874589,16,12,1966,167
168,henry,white,84,lowanna street,swan cottage homes,ashfield,2290,vic,08 69134653,2650612,26,06,1923,168
169,dylan,whitehair,141,burara crescent,,kambah,2122,,07 92128357,9421617,15,04,1999,169
170,caitlin,gray,157,ambalindum street,,edmonton,4212,nsw,04 78429686,1834146,,,,170
171,kieran,neal,16,rentoul place,mill hand,lakemba,3079,vic,02 41514293,1273893,01,06,1949,171
172,emma,simmons,329,deumonga court,gunnawarra,chifley,6111,vic,03 61430829,8606237,18,05,1902,172
173,luke,best,17,vasey crescent,,preston,2870,qld,04 11758608,4685416,24,05,1939,173
174,ethan,window,41,burraly court,,pindimar,7052,qld,08 03182895,8684002,11,12,1957,174
175,holly,rew,20,namadgi circuit,,dernancourt,3136,wa,03 05476902,2144675,10,08,1902,175
176,luke,downes,54,namatjira drive,,montmorency,2560,vic,04 69790290,4850276,01,10,1983,176
177,amy,yarlett,40,nelumbo street,rothwood garden,causeway lake,3022,,08 85034255,2762657,29,01,1979,177
178,alexander,dionisio,4,loban court,,goodwood,4019,nsw,08 66627281,7766758,21,12,1991,178
179,luke,leonard,42,bainbridge close,,yamanto,3350,sa,02 05517593,8578104,15,10,1926,179
180,zakariah,looby,2,william wilkins crescent,,kootingal,6057,qld,07 08926514,9574598,13,08,1948,180
181,thomas,brock,33,howitt street,hill crest,williamstown north,6042,qld,02 67029307,2401300,13,04,1985,181
182,flynn,gummow,6,illingworth street,apt 7,doncaster east,3465,nsw,08 32970515,9933975,17,03,1985,182
183,jake,willan,64,sumner place,,wentworth falls,2575,vic,07 51640938,1558812,,,,183
184,noah,pye,4,fellows street,jingara,carina heights,3193,wa,07 43105732,8011299,04,03,1974,184
185,harrison,pope,40,shackell place,,mount warrigal,5608,,08 93251227,5490357,05,03,1935,185
186,lauren,harper,85,schubert place,,shalvey,0,wa,03 88350019,8915935,29,04,1945,186
187,kira,burr,32,rosman circuit,stanbray farms,catherine field,6058,vic,08 45573588,4538273,02,08,1962,187
188,sophie,harvey,102,caley crescent,,batehaven,3685,nsw,02 06006686,1229232,10,10,1984,188
189,stephanie,beltrame,1,ferber place,,gosnells,5098,nsw,08 51710274,2473834,05,01,1966,189
190,mia,neale,34,blackwood terrace,,st lucia,3021,vic,04 48505065,5723786,,,,190
191,zoe,spooner,9,dexter street,borec house,huntingdale,2223,qld,02 57361202,8650718,14,11,1936,191
192,annabel,robins,28,allchin circuit,,north beach,2160,,07 88371704,1185865,04,04,1902,192
193,katelyn,archdall,11,arabana street,,waikiki,4305,vic,02 09230391,2118375,11,01,1941,193
194,joel,courtney,3277,lambrigg street,kitelands,plympton north,5221,nsw,02 76997173,1083595,13,12,1978,194
195,caitlin,fidanza,44,hannam place,denarque,reservoir,2168,wa,07 20874924,2390500,03,11,1981,195
196,matilda,trussler,53,mount vernon drive,aldinga central shopping centre,glen waverley,2104,vic,07 66011417,8871084,23,12,1994,196
197,timothy,mclaughlin,0,badenoch crescent,,werribee,4218,wa,07 24058293,9344301,10,07,1997,197
198,anneliese,laube,240,brinkley circuit,riverglades resort,ettalong,4207,nsw,02 10212936,9197928,25,04,1994,198
199,bridget,stanton,48,neilson street,holmville,ipswich,3305,qld,08 36153484,8321560,15,08,1963,199
200,nacoya,,15,balamara street,,ashmore,3044,qld,,8509043,26,01,1910,200
201,lachlan,handley,16,,glenulla,blackheath,7248,vic,07 30379927,1878674,11,01,1937,201
202,madison,rutherford,36,coverdale street,riley house,stratford,3195,qld,,5878464,12,01,1965,202
203,emiily,heinrich,9,reibey place,,broken hill,6110,nsw,02 19110687,4086109,29,06,1992,203
204,molly,farmer,120,blackwell circuit,yungera,gagebrook,4060,vic,02 32069381,2043910,12,11,1994,204
205,abii,thain,24,wilson crescent,st francis village,grenfell,4216,sa,07 25988805,9045632,23,08,1919,205
206,matisse,martin,125,clyne place,,davistown,3093,nsw,07 50149970,4826256,12,07,1999,206
207,jamie,robinson,12,gillies street,,goonellabah,2298,qld,08 82985856,4323103,08,06,1995,207
208,emiily,wells,15,,,kallangur,3465,vic,03 89715845,9367370,20,05,1914,208
209,emiily,oxford,6,pinkerton circuit,,carina,2165,sa,08 38014758,7782771,,,,209
210,william,stuart,5,mcluckie crescent,,keilor downs,3088,sa,08 64417995,9563153,,,,210
211,lauren,barrett,3,beardsmore place,,stirling north,2777,vic,03 86503356,9062395,07,04,1984,211
212,alexander,patterson,31,barrett street,bellridge,geographe,2440,vic,02 57593688,8185635,04,11,1906,212
213,beau,robson,72,colleano street,,bondi,2482,qld,04 21069238,8300553,22,03,1986,213
214,daniel,milesi,19,luehmann street,the falls,ashfield,2350,vic,03 46822747,9912172,14,04,1938,214
215,grace,kargas,16,harry hopman circuit,melvern,belgrave,7007,qld,02 76597971,7678746,19,11,1902,215
216,blake,pedler,5,knox street,,morley,3555,qld,,3472325,25,01,1919,216
217,luke,humphris,126,simpson street,sloop lagoon,kallangur,4816,nsw,02 07301866,5022553,21,01,1968,217
218,shana,feltham,66,diamantina crescent,evergreen,vaucluse,7270,vic,02 00323572,8401558,16,12,1944,218
219,crystal,christian,373,pimpampa close,sunnyvale,toowoomba,2076,,,3663393,,,,219
220,joshua,helyar-drewes,8,,,prahran east,0,vic,08 01925101,5409432,09,09,1952,220
221,elana,green,28,abernethy street,,flaxton,2350,qld,07 47839841,8326774,,,,221
222,monique,anderson,10,benson crescent,,silkstone,4035,nsw,,1388625,10,12,1967,222
223,erin,barber,158,chave street,,marlee,3939,wa,08 05787057,7070096,15,04,1965,223
224,monique,morris,15,devonport street,,currambine,2165,,08 77317384,2440165,15,01,1993,224
225,benjamin,calleja,1,russell street,the knob,upper swan,6210,nsw,03 55481534,2791115,15,02,1929,225
226,miranda,purdon,19,bertel crescent,air force memorial est,,2077,nsw,04 41974871,9656860,14,09,1999,226
227,thomas,sutton,23,gilday place,,wagga wagga,3150,sa,08 18786735,8973427,12,12,1924,227
228,amy,rubenhold,52,the verge,,,5280,nsw,03 80317588,7175165,09,10,1904,228
229,gianni,duske,150,davenport street,,norwood,2533,nsw,07 54292553,8398843,16,08,1931,229
230,kane,franks,47,akhurst grove,,clontarf,4870,vic,03 04858143,7215520,16,02,1986,230
231,drew,matthews,32,wakool circuit,,uralla,2194,nsw,08 13069127,1111093,06,09,1924,231
232,thomas,,92,elizabeth crescent,,hackham west,7250,vic,07 65896713,1631733,,,,232
233,michael,beal,3,newman morris circuit,,warrandyte,2190,vic,03 23998997,3751977,23,03,1990,233
234,victoria,andrew,79,biddlecombe street,springview,rockingham,4814,sa,04 43054856,7312685,03,01,1943,234
235,sebastian,williams,99,wilshire street,,nightcliff,2540,,03 11698790,9738758,25,07,1992,235
236,shanaye,rohig,76,goessling place,pine hill,woody point,3156,wa,04 91857258,5410776,09,05,1913,236
237,alana,van der kroft,1,sanderson close,,victoria point,2142,sa,,2414175,11,06,1902,237
238,jacinta,kotsiomitis,27,gurrang avenue,dacre,port lincoln,2156,wa,07 33892358,3455624,17,01,1907,238
239,holly,radford,2,henty street,bundaleer,rosetta,0,nsw,03 80995593,1021010,08,10,1983,239
240,isaac,botta,506,bingley crescent,raafa estate,canley vale,2070,nsw,04 04924865,3182878,13,05,1980,240
241,lachlan,dohnt,18,eyre street,,kincumber,2216,vic,,1742354,,,,241
242,harrison,thiele,25,moorhouse street,,clayfield,3317,nsw,07 89428733,9210542,03,07,1934,242
243,alicia,mackay,17,tanderra crescent,capricorn park,moss vale,4114,,03 72558429,2730654,31,08,1949,243
244,sarah,codling,29,cockcroft avenue,bowen therapy academy,beaconsfield,4030,,03 74944292,5525545,03,03,1988,244
245,james,plos,16,federal highway,,nome,3216,vic,07 91083997,1198181,12,08,1981,245
246,mia,bruce,208,marconi crescent,larnach,sulphur creek,2024,qld,04 03438504,9484209,08,11,1980,246
247,jordan,gordon,8,de burgh street,willowbend c/park,windermere,5012,vic,07 58996125,3764679,,,,247
248,riley,waye,6,oliver street,,korumburra,3218,qld,04 03819309,9300369,28,02,1972,248
249,jessica,smith,4,baldwin drive,,mysterton,2529,nsw,02 30344230,2493418,01,07,1970,249
250,lachlan,pantano,31,enid lorimer circuit,,park avenue,3352,qld,07 01007108,2774563,05,02,1976,250
251,annalise,murray,45,springvale drive,,maroochydore,3805,vic,08 88169666,2454181,27,02,1927,251
252,charlie,dobinson,88,farrer street,,parkside,4205,qld,02 91591671,8043888,,,,252
253,thomas,johnston,5,lightfoot crescent,,broken hill,3184,nsw,03 66257495,6474654,18,03,1978,253
254,aiden,richards,31,harcus close,,kenwick,2038,nsw,08 69818489,4874947,03,07,1909,254
255,maria,dekker,24,backhouse street,cainbil,bridgewater,2200,nsw,07 33345617,2198759,26,02,1931,255
256,callum,smith,12,barber crescent,,cumberland park,2154,wa,08 21569609,7494382,,,,256
257,sean,miletic,92,cockle street,brendon park,swan view,4152,nsw,03 41480219,7844044,15,02,1943,257
258,alexandra,cuthill,238,edkins street,,macleay island,2021,qld,07 57151203,7871997,27,10,1933,258
259,crystal,fisher,12,healy street,kanabi,ridgehaven,5214,qld,04 53326346,5723457,28,05,1932,259
260,marcus,lillecrapp,62,,,denmark,2478,nsw,03 14153545,1133533,02,05,1971,260
261,tyler,pesch,36,clear street,,burwood east,2642,,04 10646474,3092442,06,07,1983,261
262,sonja,brock,46,sharwood crescent,finniss park,henley beach south,3084,nsw,03 04106807,9742795,23,05,1975,262
263,jack,wickham,20,florence fuller crescent,,kemblawarra,4300,qld,07 72791764,1189541,,,,263
264,sachin,curran,17,meymott place,,bulleen,2062,nsw,07 26173503,5264384,10,09,1926,264
265,olivia,ryan,6,herschell circuit,pacific haven,mount eliza,0,wa,02 26475317,1214535,20,10,1967,265
266,sarah,,13,turner place,deakin court,cunnamulla,2260,nsw,04 09794836,9342810,19,11,1918,266
267,kira,mills,415,herbert crescent,the mews,earlwood,2614,qld,02 88467816,7637259,30,05,1966,267
268,caitlin,young,375,sumner place,tiwi professional suites,new farm,4860,vic,02 56400294,3610538,10,12,1995,268
269,kiara,ashton,25,chirnside circuit,whyteagle,kellyville,6151,wa,07 62298322,4603448,,,,269
270,kieran,horner,56,mceachern crescent,mosman park,scarness,2151,vic,08 51393586,9592251,27,08,1963,270
271,caitlin,rodgers,8,beaumont close,flt 4,windsor south,6155,vic,03 45110535,2871107,24,11,1922,271
272,jacqueline,brown,44,davenport street,flt 2,macmasters beach,2540,qld,04 37916053,2409479,09,06,1993,272
273,claudia,fletcher,231,de little circuit,,five dock,3462,nsw,07 61204923,3498553,25,12,1913,273
274,joshua,griggs,27,gilruth street,cooinda,koondrook,5162,sa,02 60415463,8660301,29,06,1960,274
275,james,baehnisch,31,archibald street,,belmont,2258,qld,08 11351370,8171999,09,09,1990,275
276,jack,wollaston,114,costello circuit,hartbreak,st albans,2747,vic,03 09553541,7375753,13,10,1977,276
